S1,action,reward,S2
"[0.02, 1, 0.5000000000000002, 4.208333333333336, False]",1,0,"[0.03, 1, 0.5000000000000002, 4.187500000000003, False]"
"[0.03, 1, 0.5000000000000002, 4.187500000000003, False]",4,0,"[0.03, 0, 0.5000000000000002, 4.187500000000003, False]"
"[0.03, 0, 0.5000000000000002, 4.187500000000003, False]",2,0,"[0.48, 0, 0.3000000000000002, 3.6875000000000027, False]"
"[0.48, 0, 0.3000000000000002, 3.6875000000000027, False]",1,0,"[0.48, 0, 0.29166666666666685, 3.666666666666669, False]"
"[0.48, 0, 0.29166666666666685, 3.666666666666669, False]",1,0,"[0.48, 0, 0.2833333333333335, 3.6458333333333357, False]"
"[0.48, 0, 0.2833333333333335, 3.6458333333333357, False]",3,0,"[0.1, 0, 0.4833333333333335, 4.145833333333336, False]"
"[0.1, 0, 0.4833333333333335, 4.145833333333336, False]",0,5,"[0.02, 0, 0.49166666666666686, 4.166666666666669, False]"
"[0.02, 0, 0.49166666666666686, 4.166666666666669, False]",2,0,"[0.27, 0, 0.29166666666666685, 3.6666666666666687, False]"
"[0.27, 0, 0.29166666666666685, 3.6666666666666687, False]",1,0,"[0.09, 0, 0.2833333333333335, 3.6458333333333353, False]"
"[0.09, 0, 0.2833333333333335, 3.6458333333333353, False]",2,0,"[0.09, 0, 0.08333333333333348, 3.1458333333333353, False]"
"[0.09, 0, 0.08333333333333348, 3.1458333333333353, False]",2,0,"[0.09, 0, -0.11666666666666653, 2.6458333333333353, False]"
"[0.09, 0, -0.11666666666666653, 2.6458333333333353, False]",4,0,"[0.09, 1, -0.11666666666666653, 2.6458333333333353, False]"
"[0.09, 1, -0.11666666666666653, 2.6458333333333353, False]",1,0,"[0.09, 1, -0.11666666666666653, 2.6250000000000018, False]"
"[0.09, 1, -0.11666666666666653, 2.6250000000000018, False]",3,0,"[0.03, 1, -0.11666666666666653, 3.1250000000000018, False]"
"[0.03, 1, -0.11666666666666653, 3.1250000000000018, False]",4,0,"[0.03, 0, -0.11666666666666653, 3.1250000000000018, False]"
"[0.03, 0, -0.11666666666666653, 3.1250000000000018, False]",0,5,"[0.03, 0, -0.1083333333333332, 3.1458333333333353, False]"
"[0.03, 0, -0.1083333333333332, 3.1458333333333353, False]",4,0,"[0.03, 1, -0.1083333333333332, 3.1458333333333353, False]"
"[0.03, 1, -0.1083333333333332, 3.1458333333333353, False]",0,0,"[0.02, 1, -0.1083333333333332, 3.1666666666666687, False]"
"[0.02, 1, -0.1083333333333332, 3.1666666666666687, False]",2,5,"[0.06, 1, -0.1083333333333332, 2.6666666666666687, False]"
"[0.06, 1, -0.1083333333333332, 2.6666666666666687, False]",1,0,"[0.06, 1, -0.1083333333333332, 2.6458333333333353, False]"
"[0.06, 1, -0.1083333333333332, 2.6458333333333353, False]",1,0,"[0.06, 1, -0.1083333333333332, 2.6250000000000018, False]"
"[0.06, 1, -0.1083333333333332, 2.6250000000000018, False]",1,0,"[0.06, 1, -0.1083333333333332, 2.6041666666666683, False]"
"[0.06, 1, -0.1083333333333332, 2.6041666666666683, False]",1,0,"[0.06, 1, -0.1083333333333332, 2.583333333333335, False]"
"[0.06, 1, -0.1083333333333332, 2.583333333333335, False]",2,5,"[0.06, 1, -0.1083333333333332, 2.083333333333335, False]"
"[0.06, 1, -0.1083333333333332, 2.083333333333335, False]",4,0,"[0.06, 0, -0.1083333333333332, 2.083333333333335, False]"
"[0.06, 0, -0.1083333333333332, 2.083333333333335, False]",3,0,"[0.08, 0, 0.09166666666666681, 2.583333333333335, False]"
"[0.08, 0, 0.09166666666666681, 2.583333333333335, False]",0,5,"[0.0, 0, 0.10000000000000014, 2.6041666666666683, False]"
"[0.0, 0, 0.10000000000000014, 2.6041666666666683, False]",4,0,"[0.0, 1, 0.10000000000000014, 2.6041666666666683, False]"
"[0.0, 1, 0.10000000000000014, 2.6041666666666683, False]",0,0,"[0.02, 1, 0.10000000000000014, 2.6250000000000018, False]"
"[0.02, 1, 0.10000000000000014, 2.6250000000000018, False]",1,0,"[0.03, 1, 0.10000000000000014, 2.6041666666666683, False]"
"[0.03, 1, 0.10000000000000014, 2.6041666666666683, False]",1,0,"[0.03, 1, 0.10000000000000014, 2.583333333333335, False]"
"[0.03, 1, 0.10000000000000014, 2.583333333333335, False]",2,5,"[0.06, 1, 0.10000000000000014, 2.083333333333335, False]"
"[0.06, 1, 0.10000000000000014, 2.083333333333335, False]",2,5,"[0.06, 1, 0.10000000000000014, 1.5833333333333348, False]"
"[0.06, 1, 0.10000000000000014, 1.5833333333333348, False]",0,0,"[0.04, 1, 0.10000000000000014, 1.604166666666668, False]"
"[0.04, 1, 0.10000000000000014, 1.604166666666668, False]",0,0,"[0.04, 1, 0.10000000000000014, 1.6250000000000013, False]"
"[0.04, 1, 0.10000000000000014, 1.6250000000000013, False]",3,0,"[0.02, 1, 0.10000000000000014, 2.1250000000000013, False]"
"[0.02, 1, 0.10000000000000014, 2.1250000000000013, False]",3,0,"[0.02, 1, 0.10000000000000014, 2.6250000000000013, False]"
"[0.02, 1, 0.10000000000000014, 2.6250000000000013, False]",0,0,"[0.02, 1, 0.10000000000000014, 2.645833333333335, False]"
"[0.02, 1, 0.10000000000000014, 2.645833333333335, False]",1,0,"[0.0, 1, 0.10000000000000014, 2.6250000000000013, False]"
"[0.0, 1, 0.10000000000000014, 2.6250000000000013, False]",0,0,"[0.02, 1, 0.10000000000000014, 2.645833333333335, False]"
"[0.02, 1, 0.10000000000000014, 2.645833333333335, False]",1,0,"[0.0, 1, 0.10000000000000014, 2.6250000000000013, False]"
"[0.0, 1, 0.10000000000000014, 2.6250000000000013, False]",0,0,"[0.02, 1, 0.10000000000000014, 2.645833333333335, False]"
"[0.02, 1, 0.10000000000000014, 2.645833333333335, False]",0,0,"[0.02, 1, 0.10000000000000014, 2.6666666666666683, False]"
"[0.02, 1, 0.10000000000000014, 2.6666666666666683, False]",0,0,"[0.02, 1, 0.10000000000000014, 2.6875000000000018, False]"
"[0.02, 1, 0.10000000000000014, 2.6875000000000018, False]",4,0,"[0.02, 0, 0.10000000000000014, 2.6875000000000018, False]"
"[0.02, 0, 0.10000000000000014, 2.6875000000000018, False]",2,0,"[0.14, 0, -0.09999999999999987, 2.1875000000000018, False]"
"[0.14, 0, -0.09999999999999987, 2.1875000000000018, False]",4,0,"[0.14, 1, -0.09999999999999987, 2.1875000000000018, False]"
"[0.14, 1, -0.09999999999999987, 2.1875000000000018, False]",0,0,"[0.04, 1, -0.09999999999999987, 2.2083333333333353, False]"
"[0.04, 1, -0.09999999999999987, 2.2083333333333353, False]",1,0,"[0.05, 1, -0.09999999999999987, 2.1875000000000018, False]"
"[0.05, 1, -0.09999999999999987, 2.1875000000000018, False]",0,0,"[0.04, 1, -0.09999999999999987, 2.2083333333333353, False]"
"[0.04, 1, -0.09999999999999987, 2.2083333333333353, False]",2,5,"[0.07, 1, -0.09999999999999987, 1.7083333333333353, False]"
"[0.07, 1, -0.09999999999999987, 1.7083333333333353, False]",0,0,"[0.05, 1, -0.09999999999999987, 1.7291666666666685, False]"
"[0.05, 1, -0.09999999999999987, 1.7291666666666685, False]",4,0,"[0.05, 0, -0.09999999999999987, 1.7291666666666685, False]"
"[0.05, 0, -0.09999999999999987, 1.7291666666666685, False]",1,0,"[0.14, 0, -0.1083333333333332, 1.7083333333333353, False]"
"[0.14, 0, -0.1083333333333332, 1.7083333333333353, False]",3,0,"[0.06, 0, 0.09166666666666681, 2.2083333333333353, False]"
"[0.06, 0, 0.09166666666666681, 2.2083333333333353, False]",2,0,"[0.34, 0, -0.1083333333333332, 1.7083333333333353, False]"
"[0.34, 0, -0.1083333333333332, 1.7083333333333353, False]",2,0,"[0.04, 0, -0.30833333333333324, 1.2083333333333353, False]"
"[0.04, 0, -0.30833333333333324, 1.2083333333333353, False]",3,0,"[0.1, 0, -0.10833333333333323, 1.7083333333333353, False]"
"[0.1, 0, -0.10833333333333323, 1.7083333333333353, False]",1,0,"[0.04, 0, -0.11666666666666656, 1.687500000000002, False]"
"[0.04, 0, -0.11666666666666656, 1.687500000000002, False]",1,0,"[0.09, 0, -0.12499999999999989, 1.6666666666666687, False]"
"[0.09, 0, -0.12499999999999989, 1.6666666666666687, False]",1,0,"[0.09, 0, -0.13333333333333322, 1.6458333333333355, False]"
"[0.09, 0, -0.13333333333333322, 1.6458333333333355, False]",2,0,"[0.45, 0, -0.33333333333333326, 1.1458333333333355, False]"
"[0.45, 0, -0.33333333333333326, 1.1458333333333355, False]",2,0,"[0.45, 0, -0.5333333333333332, 0.6458333333333355, False]"
"[0.45, 0, -0.5333333333333332, 0.6458333333333355, False]",2,0,"[0.45, 0, -0.7333333333333332, 0.14583333333333548, False]"
"[0.45, 0, -0.7333333333333332, 0.14583333333333548, False]",1,0,"[0.45, 0, -0.7416666666666665, 0.12500000000000214, False]"
"[0.45, 0, -0.7416666666666665, 0.12500000000000214, False]",4,0,"[0.45, 1, -0.7416666666666665, 0.12500000000000214, False]"
"[0.45, 1, -0.7416666666666665, 0.12500000000000214, False]",0,0,"[0.03, 1, -0.7416666666666665, 0.14583333333333548, False]"
"[0.03, 1, -0.7416666666666665, 0.14583333333333548, False]",4,0,"[0.03, 0, -0.7416666666666665, 0.14583333333333548, False]"
"[0.03, 0, -0.7416666666666665, 0.14583333333333548, False]",2,0,"[0.12, 0, -0.9416666666666664, -0.3541666666666645, False]"
"[0.12, 0, -0.9416666666666664, -0.3541666666666645, False]",3,0,"[0.1, 0, -0.7416666666666665, 0.14583333333333548, False]"
"[0.1, 0, -0.7416666666666665, 0.14583333333333548, False]",1,0,"[0.03, 0, -0.7499999999999998, 0.12500000000000214, False]"
"[0.03, 0, -0.7499999999999998, 0.12500000000000214, False]",0,5,"[0.0, 0, -0.7416666666666665, 0.14583333333333548, False]"
"[0.0, 0, -0.7416666666666665, 0.14583333333333548, False]",0,5,"[0.01, 0, -0.7333333333333332, 0.16666666666666882, False]"
"[0.01, 0, -0.7333333333333332, 0.16666666666666882, False]",1,0,"[0.05, 0, -0.7416666666666665, 0.14583333333333548, False]"
"[0.05, 0, -0.7416666666666665, 0.14583333333333548, False]",1,0,"[0.06, 0, -0.7499999999999998, 0.12500000000000214, False]"
"[0.06, 0, -0.7499999999999998, 0.12500000000000214, False]",1,0,"[0.05, 0, -0.7583333333333331, 0.10416666666666881, False]"
"[0.05, 0, -0.7583333333333331, 0.10416666666666881, False]",3,0,"[0.13, 0, -0.5583333333333331, 0.6041666666666689, False]"
"[0.13, 0, -0.5583333333333331, 0.6041666666666689, False]",3,0,"[0.04, 0, -0.3583333333333331, 1.1041666666666687, False]"
"[0.04, 0, -0.3583333333333331, 1.1041666666666687, False]",1,0,"[0.04, 0, -0.3666666666666665, 1.0833333333333355, False]"
"[0.04, 0, -0.3666666666666665, 1.0833333333333355, False]",1,0,"[0.03, 0, -0.37499999999999983, 1.0625000000000022, False]"
