S1,action,reward,S2
"[0.02, 1, -0.16666666666666674, 3.208333333333335, False]",3,0.0,"[0.11, 1, -0.16666666666666674, 3.708333333333335, False]"
"[0.11, 1, -0.16666666666666674, 3.708333333333335, False]",4,0.0,"[0.11, 0, -0.16666666666666674, 3.708333333333335, False]"
"[0.11, 0, -0.16666666666666674, 3.708333333333335, False]",1,0.0,"[0.0, 0, -0.17500000000000007, 3.6875000000000013, False]"
"[0.0, 0, -0.17500000000000007, 3.6875000000000013, False]",0,0.78,"[0.11, 0, -0.16666666666666674, 3.708333333333335, False]"
"[0.11, 0, -0.16666666666666674, 3.708333333333335, False]",2,0.0,"[0.01, 0, -0.36666666666666675, 3.208333333333335, False]"
"[0.01, 0, -0.36666666666666675, 3.208333333333335, False]",1,0.0,"[0.03, 0, -0.3750000000000001, 3.1875000000000013, False]"
"[0.03, 0, -0.3750000000000001, 3.1875000000000013, False]",2,0.0,"[0.03, 0, -0.5750000000000002, 2.6875000000000013, False]"
"[0.03, 0, -0.5750000000000002, 2.6875000000000013, False]",4,0.0,"[0.03, 1, -0.5750000000000002, 2.6875000000000013, False]"
"[0.03, 1, -0.5750000000000002, 2.6875000000000013, False]",0,0.0,"[0.04, 1, -0.5750000000000002, 2.708333333333335, False]"
"[0.04, 1, -0.5750000000000002, 2.708333333333335, False]",1,0.0,"[0.06, 1, -0.5750000000000002, 2.6875000000000013, False]"
"[0.06, 1, -0.5750000000000002, 2.6875000000000013, False]",3,0.0,"[0.01, 1, -0.5750000000000002, 3.1875000000000013, False]"
"[0.01, 1, -0.5750000000000002, 3.1875000000000013, False]",2,0.2,"[0.06, 1, -0.5750000000000002, 2.6875000000000013, False]"
"[0.06, 1, -0.5750000000000002, 2.6875000000000013, False]",2,0.2,"[0.06, 1, -0.5750000000000002, 2.1875000000000013, False]"
"[0.06, 1, -0.5750000000000002, 2.1875000000000013, False]",2,0.2,"[0.06, 1, -0.5750000000000002, 1.6875000000000013, False]"
"[0.06, 1, -0.5750000000000002, 1.6875000000000013, False]",2,0.2,"[0.06, 1, -0.5750000000000002, 1.1875000000000013, False]"
"[0.06, 1, -0.5750000000000002, 1.1875000000000013, False]",1,0.0,"[0.06, 1, -0.5750000000000002, 1.166666666666668, False]"
"[0.06, 1, -0.5750000000000002, 1.166666666666668, False]",0,0.0,"[0.04, 1, -0.5750000000000002, 1.1875000000000013, False]"
"[0.04, 1, -0.5750000000000002, 1.1875000000000013, False]",0,0.0,"[0.04, 1, -0.5750000000000002, 1.2083333333333346, False]"
"[0.04, 1, -0.5750000000000002, 1.2083333333333346, False]",2,0.2,"[0.05, 1, -0.5750000000000002, 0.7083333333333346, False]"
"[0.05, 1, -0.5750000000000002, 0.7083333333333346, False]",3,0.0,"[0.01, 1, -0.5750000000000002, 1.2083333333333346, False]"
