S1,action,reward,S2
"[0.01, 1, -0.5250000000000002, -2.5833333333333335, False]",2,0.0,"[0.02, 1, -0.5250000000000002, -3.0833333333333335, False]"
"[0.02, 1, -0.5250000000000002, -3.0833333333333335, False]",1,-1.0,"[0.02, 1, -0.5250000000000002, -3.104166666666667, False]"
"[0.02, 1, -0.5250000000000002, -3.104166666666667, False]",1,-1.0,"[0.02, 1, -0.5250000000000002, -3.1250000000000004, False]"
"[0.02, 1, -0.5250000000000002, -3.1250000000000004, False]",3,1.0,"[0.02, 1, -0.5250000000000002, -2.6250000000000004, False]"
"[0.02, 1, -0.5250000000000002, -2.6250000000000004, False]",4,-1.0,"[0.02, 0, -0.5250000000000002, -2.6250000000000004, False]"
"[0.02, 0, -0.5250000000000002, -2.6250000000000004, False]",3,0.0,"[0.02, 0, -0.32500000000000023, -2.1250000000000004, False]"
"[0.02, 0, -0.32500000000000023, -2.1250000000000004, False]",1,0.0,"[0.06, 0, -0.3333333333333336, -2.145833333333334, False]"
"[0.06, 0, -0.3333333333333336, -2.145833333333334, False]",4,1.0,"[0.06, 1, -0.3333333333333336, -2.145833333333334, False]"
"[0.06, 1, -0.3333333333333336, -2.145833333333334, False]",2,0.0,"[0.02, 1, -0.3333333333333336, -2.645833333333334, False]"
"[0.02, 1, -0.3333333333333336, -2.645833333333334, False]",2,0.0,"[0.03, 1, -0.3333333333333336, -3.145833333333334, False]"
"[0.03, 1, -0.3333333333333336, -3.145833333333334, False]",3,1.0,"[0.0, 1, -0.3333333333333336, -2.645833333333334, False]"
"[0.0, 1, -0.3333333333333336, -2.645833333333334, False]",4,-1.0,"[0.0, 0, -0.3333333333333336, -2.645833333333334, False]"
"[0.0, 0, -0.3333333333333336, -2.645833333333334, False]",1,0.0,"[0.27, 0, -0.34166666666666695, -2.6666666666666674, False]"
"[0.27, 0, -0.34166666666666695, -2.6666666666666674, False]",3,0.0,"[0.05, 0, -0.14166666666666694, -2.1666666666666674, False]"
"[0.05, 0, -0.14166666666666694, -2.1666666666666674, False]",0,0.8,"[0.1, 0, -0.1333333333333336, -2.145833333333334, False]"
"[0.1, 0, -0.1333333333333336, -2.145833333333334, False]",1,0.0,"[0.03, 0, -0.14166666666666694, -2.1666666666666674, False]"
"[0.03, 0, -0.14166666666666694, -2.1666666666666674, False]",2,0.0,"[0.29, 0, -0.34166666666666695, -2.6666666666666674, False]"
"[0.29, 0, -0.34166666666666695, -2.6666666666666674, False]",2,0.0,"[0.4, 0, -0.541666666666667, -3.1666666666666674, False]"
"[0.4, 0, -0.541666666666667, -3.1666666666666674, False]",2,0.0,"[0.4, 0, -0.7416666666666669, -3.6666666666666674, False]"
"[0.4, 0, -0.7416666666666669, -3.6666666666666674, False]",1,0.0,"[0.4, 0, -0.7500000000000002, -3.687500000000001, False]"
"[0.4, 0, -0.7500000000000002, -3.687500000000001, False]",4,1.0,"[0.4, 1, -0.7500000000000002, -3.687500000000001, False]"
"[0.4, 1, -0.7500000000000002, -3.687500000000001, False]",0,-1.0,"[0.01, 1, -0.7500000000000002, -3.6666666666666674, False]"
"[0.01, 1, -0.7500000000000002, -3.6666666666666674, False]",0,-1.0,"[0.01, 1, -0.7500000000000002, -3.645833333333334, False]"
"[0.01, 1, -0.7500000000000002, -3.645833333333334, False]",4,-1.0,"[0.01, 0, -0.7500000000000002, -3.645833333333334, False]"
"[0.01, 0, -0.7500000000000002, -3.645833333333334, False]",0,0.98,"[0.01, 0, -0.7416666666666669, -3.6250000000000004, False]"
"[0.01, 0, -0.7416666666666669, -3.6250000000000004, False]",2,0.0,"[0.03, 0, -0.9416666666666669, -4.125, False]"
"[0.03, 0, -0.9416666666666669, -4.125, False]",4,1.0,"[0.03, 1, -0.9416666666666669, -4.125, False]"
"[0.03, 1, -0.9416666666666669, -4.125, False]",1,-1.0,"[0.03, 1, -0.9416666666666669, -4.145833333333333, False]"
"[0.03, 1, -0.9416666666666669, -4.145833333333333, False]",4,-1.0,"[0.03, 0, -0.9416666666666669, -4.145833333333333, False]"
"[0.03, 0, -0.9416666666666669, -4.145833333333333, False]",1,0.0,"[0.03, 0, -0.9500000000000002, -4.166666666666666, False]"
"[0.03, 0, -0.9500000000000002, -4.166666666666666, False]",1,0.0,"[0.03, 0, -0.9583333333333335, -4.187499999999999, False]"
"[0.03, 0, -0.9583333333333335, -4.187499999999999, False]",1,0.0,"[0.03, 0, -0.9666666666666668, -4.208333333333332, False]"
"[0.03, 0, -0.9666666666666668, -4.208333333333332, False]",0,0.98,"[0.01, 0, -0.9583333333333335, -4.187499999999999, False]"
"[0.01, 0, -0.9583333333333335, -4.187499999999999, False]",0,1.0,"[0.0, 0, -0.9500000000000002, -4.166666666666666, False]"
"[0.0, 0, -0.9500000000000002, -4.166666666666666, False]",2,0.0,"[0.07, 0, -1.1500000000000001, -4.666666666666666, False]"
"[0.07, 0, -1.1500000000000001, -4.666666666666666, False]",3,0.0,"[0.11, 0, -0.9500000000000002, -4.166666666666666, False]"
"[0.11, 0, -0.9500000000000002, -4.166666666666666, False]",4,1.0,"[0.11, 1, -0.9500000000000002, -4.166666666666666, False]"
"[0.11, 1, -0.9500000000000002, -4.166666666666666, False]",1,-1.0,"[0.01, 1, -0.9500000000000002, -4.187499999999999, False]"
"[0.01, 1, -0.9500000000000002, -4.187499999999999, False]",0,-1.0,"[0.01, 1, -0.9500000000000002, -4.166666666666666, False]"
"[0.01, 1, -0.9500000000000002, -4.166666666666666, False]",4,-1.0,"[0.01, 0, -0.9500000000000002, -4.166666666666666, False]"
"[0.01, 0, -0.9500000000000002, -4.166666666666666, False]",1,0.0,"[0.03, 0, -0.9583333333333335, -4.187499999999999, False]"
"[0.03, 0, -0.9583333333333335, -4.187499999999999, False]",0,0.96,"[0.02, 0, -0.9500000000000002, -4.166666666666666, False]"
"[0.02, 0, -0.9500000000000002, -4.166666666666666, False]",1,0.0,"[0.04, 0, -0.9583333333333335, -4.187499999999999, False]"
"[0.04, 0, -0.9583333333333335, -4.187499999999999, False]",4,1.0,"[0.04, 1, -0.9583333333333335, -4.187499999999999, False]"
"[0.04, 1, -0.9583333333333335, -4.187499999999999, False]",4,-1.0,"[0.04, 0, -0.9583333333333335, -4.187499999999999, False]"
"[0.04, 0, -0.9583333333333335, -4.187499999999999, False]",2,0.0,"[0.42, 0, -1.1583333333333334, -4.687499999999999, False]"
"[0.42, 0, -1.1583333333333334, -4.687499999999999, False]",1,0.0,"[0.42, 0, -1.1666666666666667, -4.708333333333332, False]"
"[0.42, 0, -1.1666666666666667, -4.708333333333332, False]",2,0.0,"[0.42, 0, -1.3666666666666667, -5.208333333333332, False]"
"[0.42, 0, -1.3666666666666667, -5.208333333333332, False]",4,1.0,"[0.42, 1, -1.3666666666666667, -5.208333333333332, False]"
"[0.42, 1, -1.3666666666666667, -5.208333333333332, False]",3,1.0,"[0.01, 1, -1.3666666666666667, -4.708333333333332, False]"
"[0.01, 1, -1.3666666666666667, -4.708333333333332, False]",2,0.0,"[0.02, 1, -1.3666666666666667, -5.208333333333332, False]"
"[0.02, 1, -1.3666666666666667, -5.208333333333332, False]",3,1.0,"[0.02, 1, -1.3666666666666667, -4.708333333333332, False]"
"[0.02, 1, -1.3666666666666667, -4.708333333333332, False]",2,0.0,"[0.02, 1, -1.3666666666666667, -5.208333333333332, False]"
"[0.02, 1, -1.3666666666666667, -5.208333333333332, False]",0,-1.0,"[0.01, 1, -1.3666666666666667, -5.187499999999999, False]"
"[0.01, 1, -1.3666666666666667, -5.187499999999999, False]",4,-1.0,"[0.01, 0, -1.3666666666666667, -5.187499999999999, False]"
"[0.01, 0, -1.3666666666666667, -5.187499999999999, False]",2,0.0,"[0.08, 0, -1.5666666666666667, -5.687499999999999, False]"
"[0.08, 0, -1.5666666666666667, -5.687499999999999, False]",1,0.0,"[0.08, 0, -1.575, -5.708333333333332, False]"
"[0.08, 0, -1.575, -5.708333333333332, False]",1,0.0,"[0.08, 0, -1.5833333333333333, -5.729166666666665, False]"
"[0.08, 0, -1.5833333333333333, -5.729166666666665, False]",1,0.0,"[0.08, 0, -1.5916666666666666, -5.749999999999998, False]"
"[0.08, 0, -1.5916666666666666, -5.749999999999998, False]",4,1.0,"[0.08, 1, -1.5916666666666666, -5.749999999999998, False]"
"[0.08, 1, -1.5916666666666666, -5.749999999999998, False]",0,-1.0,"[0.02, 1, -1.5916666666666666, -5.729166666666665, False]"
"[0.02, 1, -1.5916666666666666, -5.729166666666665, False]",1,-1.0,"[0.02, 1, -1.5916666666666666, -5.749999999999998, False]"
"[0.02, 1, -1.5916666666666666, -5.749999999999998, False]",3,1.0,"[0.01, 1, -1.5916666666666666, -5.249999999999998, False]"
"[0.01, 1, -1.5916666666666666, -5.249999999999998, False]",2,0.0,"[0.02, 1, -1.5916666666666666, -5.749999999999998, False]"
"[0.02, 1, -1.5916666666666666, -5.749999999999998, False]",1,-1.0,"[0.02, 1, -1.5916666666666666, -5.770833333333331, False]"
