S1,action,reward,S2
"[0.02, 1, 0.0, 0.6333333333333333, False]",2,-1.0,"[0.06, 1, -0.7416666666666667, 0, False]"
"[0.06, 1, 0.5, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.7416666666666667, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",0,-1.0,"[0.03, 1, -0.7416666666666667, 0.6333333333333333, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",0,-1.0,"[0.03, 1, -0.7416666666666667, 0.6333333333333333, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.7416666666666667, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",2,-1.0,"[0.06, 1, -0.7416666666666667, 0, False]"
"[0.06, 1, 0.5, 0.6333333333333333, False]",0,-1.0,"[0.05, 1, -0.7416666666666667, 0.6333333333333333, False]"
"[0.05, 1, 0.4791666666666667, 0.6333333333333333, False]",3,-1.0,"[0.02, 1, -0.7416666666666667, 0, False]"
"[0.02, 1, 0.0, 0.6333333333333333, False]",0,-1.0,"[0.02, 1, -0.7416666666666667, 0.6333333333333333, False]"
"[0.02, 1, 0.0, 0.6333333333333333, False]",0,-1.0,"[0.02, 1, -0.7416666666666667, 0.6333333333333333, False]"
"[0.02, 1, 0.0, 0.6333333333333333, False]",4,-1.0,"[0.02, 0, -0.7416666666666667, 0.6333333333333333, False]"
"[0.02, 0, 0.0, 0.6333333333333333, False]",0,0.96,"[0.02, 0, -0.7333333333333334, 0.6333333333333333, False]"
"[0.02, 0, 0.0, 0.6333333333333333, False]",0,0.96,"[0.02, 0, -0.7250000000000001, 0.6333333333333333, False]"
"[0.02, 0, 0.0, 0.6333333333333333, False]",4,-1.0,"[0.02, 1, -0.7250000000000001, 0.6333333333333333, False]"
"[0.02, 1, 0.0, 0.6333333333333333, False]",2,-1.0,"[0.06, 1, -0.7250000000000001, 0, False]"
"[0.06, 1, 0.5, 0.6333333333333333, False]",1,-1.0,"[0.06, 1, -0.7250000000000001, 0.6333333333333333, False]"
"[0.06, 1, 0.5208333333333334, 0.6333333333333333, False]",0,-1.0,"[0.05, 1, -0.7250000000000001, 0.6333333333333333, False]"
"[0.05, 1, 0.5, 0.6333333333333333, False]",1,-1.0,"[0.06, 1, -0.7250000000000001, 0.6333333333333333, False]"
"[0.06, 1, 0.5208333333333334, 0.6333333333333333, False]",3,-1.0,"[0.02, 1, -0.7250000000000001, 0, False]"
"[0.02, 1, 0.020833333333333332, 0.6333333333333333, False]",4,-1.0,"[0.02, 0, -0.7250000000000001, 0.6333333333333333, False]"
"[0.02, 0, 0.020833333333333332, 0.6333333333333333, False]",4,-1.0,"[0.02, 1, -0.7250000000000001, 0.6333333333333333, False]"
"[0.02, 1, 0.020833333333333332, 0.6333333333333333, False]",0,-1.0,"[0.03, 1, -0.7250000000000001, 0.6333333333333333, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.7250000000000001, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",1,-1.0,"[0.0, 1, -0.7250000000000001, 0.6333333333333333, False]"
"[0.0, 1, 0.020833333333333332, 0.6333333333333333, False]",0,-1.0,"[0.02, 1, -0.7250000000000001, 0.6333333333333333, False]"
"[0.02, 1, 0.0, 0.6333333333333333, False]",0,-1.0,"[0.02, 1, -0.7250000000000001, 0.6333333333333333, False]"
"[0.02, 1, 0.0, 0.6333333333333333, False]",4,-1.0,"[0.02, 0, -0.7250000000000001, 0.6333333333333333, False]"
"[0.02, 0, 0.0, 0.6333333333333333, False]",0,0.96,"[0.02, 0, -0.7166666666666668, 0.6333333333333333, False]"
"[0.02, 0, 0.0, 0.6333333333333333, False]",1,0.0,"[0.02, 0, -0.7250000000000001, 0.625, False]"
"[0.02, 0, 0.020833333333333332, 0.625, False]",2,-1.0,"[0.31, 0, -0.925, 0, False]"
"[0.31, 0, 0.5208333333333334, 0.425, False]",0,0.92,"[0.04, 0, -0.9166666666666667, 0.43333333333333335, False]"
"[0.04, 0, 0.5, 0.43333333333333335, False]",0,0.9,"[0.05, 0, -0.9083333333333334, 0.44166666666666665, False]"
"[0.05, 0, 0.4791666666666667, 0.44166666666666665, False]",3,-1.0,"[0.05, 0, -0.7083333333333335, 0, False]"
"[0.05, 0, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.05, 0, -0.5083333333333335, 0, False]"
"[0.05, 0, 0.0, 0.6333333333333333, False]",0,0.9,"[0.05, 0, -0.5000000000000002, 0.6333333333333333, False]"
"[0.05, 0, 0.0, 0.6333333333333333, False]",1,0.0,"[0.02, 0, -0.5083333333333335, 0.625, False]"
"[0.02, 0, 0.020833333333333332, 0.625, False]",0,0.98,"[0.01, 0, -0.5000000000000002, 0.6333333333333333, False]"
"[0.01, 0, 0.0, 0.6333333333333333, False]",4,-1.0,"[0.01, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.01, 1, 0.0, 0.6333333333333333, False]",0,-1.0,"[0.01, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.01, 1, 0.0, 0.6333333333333333, False]",0,-1.0,"[0.01, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.01, 1, 0.0, 0.6333333333333333, False]",0,-1.0,"[0.01, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.01, 1, 0.0, 0.6333333333333333, False]",0,-1.0,"[0.01, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.01, 1, 0.0, 0.6333333333333333, False]",0,-1.0,"[0.01, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.01, 1, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.01, 1, -0.5000000000000002, 0, False]"
"[0.01, 1, 0.0, 0.6333333333333333, False]",0,-1.0,"[0.01, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.01, 1, 0.0, 0.6333333333333333, False]",1,-1.0,"[0.01, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.01, 1, 0.020833333333333332, 0.6333333333333333, False]",3,-1.0,"[0.02, 1, -0.5000000000000002, 0, False]"
"[0.02, 1, 0.0, 0.6333333333333333, False]",0,-1.0,"[0.02, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.02, 1, 0.0, 0.6333333333333333, False]",0,-1.0,"[0.02, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.02, 1, 0.0, 0.6333333333333333, False]",2,-1.0,"[0.06, 1, -0.5000000000000002, 0, False]"
"[0.06, 1, 0.5, 0.6333333333333333, False]",2,-1.0,"[0.08, 1, -0.5000000000000002, 0, False]"
"[0.08, 1, 1.0, 0.6333333333333333, False]",4,-1.0,"[0.08, 0, -0.5000000000000002, 0.6333333333333333, False]"
"[0.08, 0, 1.0, 0.6333333333333333, False]",1,0.0,"[0.08, 0, -0.5083333333333335, 0.6333333333333333, False]"
"[0.08, 0, 1.0, 0.6333333333333333, False]",4,-1.0,"[0.08, 1, -0.5083333333333335, 0.6333333333333333, False]"
"[0.08, 1, 1.0, 0.6333333333333333, False]",3,-1.0,"[0.04, 1, -0.5083333333333335, 0, False]"
"[0.04, 1, 0.5, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.5083333333333335, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.5083333333333335, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.5083333333333335, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.5083333333333335, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.5083333333333335, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.5083333333333335, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.5083333333333335, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.5083333333333335, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.5083333333333335, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",4,-1.0,"[0.03, 0, -0.5083333333333335, 0.6333333333333333, False]"
"[0.03, 0, 0.0, 0.6333333333333333, False]",0,0.94,"[0.03, 0, -0.5000000000000002, 0.6333333333333333, False]"
"[0.03, 0, 0.0, 0.6333333333333333, False]",4,-1.0,"[0.03, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.5000000000000002, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",2,-1.0,"[0.06, 1, -0.5000000000000002, 0, False]"
"[0.06, 1, 0.5, 0.6333333333333333, False]",2,-1.0,"[0.08, 1, -0.5000000000000002, 0, False]"
"[0.08, 1, 1.0, 0.6333333333333333, False]",1,-1.0,"[0.08, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.08, 1, 1.0, 0.6333333333333333, False]",0,-1.0,"[0.05, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.05, 1, 0.9791666666666666, 0.6333333333333333, False]",3,-1.0,"[0.04, 1, -0.5000000000000002, 0, False]"
"[0.04, 1, 0.4791666666666667, 0.6333333333333333, False]",3,-1.0,"[0.04, 1, -0.5000000000000002, 0, False]"
"[0.04, 1, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.04, 1, -0.5000000000000002, 0, False]"
"[0.04, 1, 0.0, 0.6333333333333333, False]",1,-1.0,"[0.0, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.0, 1, 0.020833333333333332, 0.6333333333333333, False]",0,-1.0,"[0.03, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",2,-1.0,"[0.06, 1, -0.5000000000000002, 0, False]"
"[0.06, 1, 0.5, 0.6333333333333333, False]",2,-1.0,"[0.08, 1, -0.5000000000000002, 0, False]"
"[0.08, 1, 1.0, 0.6333333333333333, False]",0,-1.0,"[0.06, 1, -0.5000000000000002, 0.6333333333333333, False]"
"[0.06, 1, 0.9791666666666666, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.5000000000000002, 0, False]"
"[0.03, 1, 0.4791666666666667, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.5000000000000002, 0, False]"
